fiscal_year,fiscal_month,business_unit_id,business_unit_name,description,employee_count,parent_id
2015,3,sales,営業部門,顧客開拓と販売活動を担当する部門,120,
2015,3,finance,経理部門,財務管理と会計処理を担当する部門,80,
2015,3,it,IT部門,情報システムの開発と運用を担当する部門,50,
2015,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,72,sales
2015,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,48,sales
2015,3,finance_accounting,経理,会計処理と決算業務を担当,55,finance
2015,3,finance_planning,財務企画,資金計画と財務戦略を担当,25,finance
2015,3,it_development,システム開発,アプリケーション開発を担当,25,it
2015,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,25,it
2016,3,sales,営業部門,顧客開拓と販売活動を担当する部門,126,
2016,3,finance,経理部門,財務管理と会計処理を担当する部門,82,
2016,3,it,IT部門,情報システムの開発と運用を担当する部門,54,
2016,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,75,sales
2016,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,51,sales
2016,3,finance_accounting,経理,会計処理と決算業務を担当,56,finance
2016,3,finance_planning,財務企画,資金計画と財務戦略を担当,26,finance
2016,3,it_development,システム開発,アプリケーション開発を担当,27,it
2016,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,27,it
2017,3,sales,営業部門,顧客開拓と販売活動を担当する部門,132,
2017,3,finance,経理部門,財務管理と会計処理を担当する部門,85,
2017,3,it,IT部門,情報システムの開発と運用を担当する部門,58,
2017,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,79,sales
2017,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,53,sales
2017,3,finance_accounting,経理,会計処理と決算業務を担当,58,finance
2017,3,finance_planning,財務企画,資金計画と財務戦略を担当,27,finance
2017,3,it_development,システム開発,アプリケーション開発を担当,30,it
2017,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,28,it
2018,3,sales,営業部門,顧客開拓と販売活動を担当する部門,139,
2018,3,finance,経理部門,財務管理と会計処理を担当する部門,88,
2018,3,it,IT部門,情報システムの開発と運用を担当する部門,63,
2018,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,82,sales
2018,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,57,sales
2018,3,finance_accounting,経理,会計処理と決算業務を担当,60,finance
2018,3,finance_planning,財務企画,資金計画と財務戦略を担当,28,finance
2018,3,it_development,システム開発,アプリケーション開発を担当,33,it
2018,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,30,it
2019,3,sales,営業部門,顧客開拓と販売活動を担当する部門,146,
2019,3,finance,経理部門,財務管理と会計処理を担当する部門,91,
2019,3,it,IT部門,情報システムの開発と運用を担当する部門,68,
2019,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,85,sales
2019,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,61,sales
2019,3,finance_accounting,経理,会計処理と決算業務を担当,62,finance
2019,3,finance_planning,財務企画,資金計画と財務戦略を担当,29,finance
2019,3,it_development,システム開発,アプリケーション開発を担当,36,it
2019,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,32,it
2020,3,sales,営業部門,顧客開拓と販売活動を担当する部門,153,
2020,3,finance,経理部門,財務管理と会計処理を担当する部門,94,
2020,3,it,IT部門,情報システムの開発と運用を担当する部門,74,
2020,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,88,sales
2020,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,65,sales
2020,3,finance_accounting,経理,会計処理と決算業務を担当,64,finance
2020,3,finance_planning,財務企画,資金計画と財務戦略を担当,30,finance
2020,3,it_development,システム開発,アプリケーション開発を担当,40,it
2020,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,34,it
2021,3,sales,営業部門,顧客開拓と販売活動を担当する部門,161,
2021,3,finance,経理部門,財務管理と会計処理を担当する部門,97,
2021,3,it,IT部門,情報システムの開発と運用を担当する部門,80,
2021,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,92,sales
2021,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,69,sales
2021,3,finance_accounting,経理,会計処理と決算業務を担当,66,finance
2021,3,finance_planning,財務企画,資金計画と財務戦略を担当,31,finance
2021,3,it_development,システム開発,アプリケーション開発を担当,44,it
2021,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,36,it
2022,3,sales,営業部門,顧客開拓と販売活動を担当する部門,169,
2022,3,finance,経理部門,財務管理と会計処理を担当する部門,100,
2022,3,it,IT部門,情報システムの開発と運用を担当する部門,87,
2022,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,96,sales
2022,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,73,sales
2022,3,finance_accounting,経理,会計処理と決算業務を担当,68,finance
2022,3,finance_planning,財務企画,資金計画と財務戦略を担当,32,finance
2022,3,it_development,システム開発,アプリケーション開発を担当,49,it
2022,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,38,it
2023,3,sales,営業部門,顧客開拓と販売活動を担当する部門,178,
2023,3,finance,経理部門,財務管理と会計処理を担当する部門,103,
2023,3,it,IT部門,情報システムの開発と運用を担当する部門,94,
2023,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,100,sales
2023,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,78,sales
2023,3,finance_accounting,経理,会計処理と決算業務を担当,70,finance
2023,3,finance_planning,財務企画,資金計画と財務戦略を担当,33,finance
2023,3,it_development,システム開発,アプリケーション開発を担当,54,it
2023,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,40,it
2024,3,sales,営業部門,顧客開拓と販売活動を担当する部門,187,
2024,3,finance,経理部門,財務管理と会計処理を担当する部門,106,
2024,3,it,IT部門,情報システムの開発と運用を担当する部門,102,
2024,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,104,sales
2024,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,83,sales
2024,3,finance_accounting,経理,会計処理と決算業務を担当,72,finance
2024,3,finance_planning,財務企画,資金計画と財務戦略を担当,34,finance
2024,3,it_development,システム開発,アプリケーション開発を担当,60,it
2024,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,42,it
2025,3,sales,営業部門,顧客開拓と販売活動を担当する部門,196,
2025,3,finance,経理部門,財務管理と会計処理を担当する部門,110,
2025,3,it,IT部門,情報システムの開発と運用を担当する部門,110,
2025,3,sales_domestic,国内営業,国内市場向けの営業活動を担当,108,sales
2025,3,sales_overseas,海外営業,海外市場向けの営業活動を担当,88,sales
2025,3,finance_accounting,経理,会計処理と決算業務を担当,75,finance
2025,3,finance_planning,財務企画,資金計画と財務戦略を担当,35,finance
2025,3,it_development,システム開発,アプリケーション開発を担当,65,it
2025,3,it_infrastructure,インフラ運用,ITインフラの運用管理を担当,45,it
