allocation_id,it_tower_id,it_sub_tower_id,service_id,allocation_method,allocation_value,description
1,compute,servers,erp,usage_based,0.4,ERPサービスのサーバーリソース利用
2,compute,servers,crm,usage_based,0.3,CRMサービスのサーバーリソース利用
3,compute,servers,sales_force,usage_based,0.1,営業支援サービスのサーバーリソース利用
4,compute,servers,file_sharing,usage_based,0.1,ファイル共有サービスのサーバーリソース利用
5,compute,servers,web_hosting,usage_based,0.1,Webホスティングサービスのサーバーリソース利用
6,compute,unix,erp,usage_based,0.7,ERPサービスのUNIXサーバーリソース利用
7,compute,unix,database_service,usage_based,0.3,データベースサービスのUNIXサーバーリソース利用
8,storage,online_storage,erp,usage_based,0.3,ERPサービスのストレージリソース利用
9,storage,online_storage,crm,usage_based,0.2,CRMサービスのストレージリソース利用
10,storage,online_storage,file_sharing,usage_based,0.4,ファイル共有サービスのストレージリソース利用
11,storage,online_storage,database_service,usage_based,0.1,データベースサービスのストレージリソース利用
12,storage,offline_storage,backup_recovery,direct,1.0,バックアップ・リカバリサービスのストレージリソース利用
13,network,lan_wan,erp,usage_based,0.2,ERPサービスのネットワークリソース利用
14,network,lan_wan,crm,usage_based,0.2,CRMサービスのネットワークリソース利用
15,network,lan_wan,sales_force,usage_based,0.1,営業支援サービスのネットワークリソース利用
16,network,lan_wan,email,usage_based,0.2,メールサービスのネットワークリソース利用
17,network,lan_wan,collaboration,usage_based,0.1,コラボレーションサービスのネットワークリソース利用
18,network,lan_wan,file_sharing,usage_based,0.1,ファイル共有サービスのネットワークリソース利用
19,network,lan_wan,web_hosting,usage_based,0.1,Webホスティングサービスのネットワークリソース利用
20,network,transport,remote_access,direct,1.0,リモートアクセスサービスのネットワークリソース利用
21,platform,database,erp,usage_based,0.5,ERPサービスのデータベースリソース利用
22,platform,database,crm,usage_based,0.3,CRMサービスのデータベースリソース利用
23,platform,database,sales_force,usage_based,0.2,営業支援サービスのデータベースリソース利用
24,platform,middleware,erp,usage_based,0.6,ERPサービスのミドルウェアリソース利用
25,platform,middleware,crm,usage_based,0.4,CRMサービスのミドルウェアリソース利用
26,application,app_development,crm,direct,0.7,CRMサービスのアプリケーション開発リソース利用
27,application,app_development,sales_force,direct,0.3,営業支援サービスのアプリケーション開発リソース利用
28,application,app_support,erp,direct,0.6,ERPサービスのアプリケーションサポートリソース利用
29,application,app_support,crm,direct,0.3,CRMサービスのアプリケーションサポートリソース利用
30,application,app_support,sales_force,direct,0.1,営業支援サービスのアプリケーションサポートリソース利用
31,application,business_software,erp,direct,0.5,ERPサービスのビジネスソフトウェアリソース利用
32,application,business_software,crm,direct,0.2,CRMサービスのビジネスソフトウェアリソース利用
33,application,business_software,sales_force,direct,0.3,営業支援サービスのビジネスソフトウェアリソース利用
34,end_user,workspace,email,user_count,0.3,メールサービスのワークスペースリソース利用
35,end_user,workspace,collaboration,user_count,0.3,コラボレーションサービスのワークスペースリソース利用
36,end_user,workspace,file_sharing,user_count,0.2,ファイル共有サービスのワークスペースリソース利用
37,end_user,workspace,remote_access,user_count,0.2,リモートアクセスサービスのワークスペースリソース利用
38,end_user,end_user_software,email,direct,0.5,メールサービスのエンドユーザーソフトウェアリソース利用
39,end_user,end_user_software,collaboration,direct,0.5,コラボレーションサービスのエンドユーザーソフトウェアリソース利用
40,end_user,helpdesk,helpdesk,direct,1.0,ヘルプデスクサービスのヘルプデスクリソース利用
41,security,security_ops,security_service,direct,1.0,セキュリティサービスのセキュリティリソース利用
42,data_center,enterprise_dc,erp,usage_based,0.3,ERPサービスのデータセンターリソース利用
43,data_center,enterprise_dc,crm,usage_based,0.2,CRMサービスのデータセンターリソース利用
44,data_center,enterprise_dc,sales_force,usage_based,0.1,営業支援サービスのデータセンターリソース利用
45,data_center,enterprise_dc,email,usage_based,0.1,メールサービスのデータセンターリソース利用
46,data_center,enterprise_dc,collaboration,usage_based,0.1,コラボレーションサービスのデータセンターリソース利用
47,data_center,enterprise_dc,file_sharing,usage_based,0.1,ファイル共有サービスのデータセンターリソース利用
48,data_center,enterprise_dc,database_service,usage_based,0.1,データベースサービスのデータセンターリソース利用
