it_sub_tower_id,it_tower_id,it_sub_tower_name,description
enterprise_dc,data_center,エンタープライズ・データセンター,本社データセンター
other_facilities,data_center,その他の施設,支社データセンター、コロケーション
servers,compute,サーバー（Windows/Linux）,Windows/Linuxサーバー
unix,compute,ユニックス,UNIXサーバー
midrange,compute,ミッドレンジ,中規模サーバー
mainframe,compute,メインフレーム,大型汎用機
hpc,compute,HPC,高性能計算機
online_storage,storage,オンラインストレージ,高速アクセス可能なストレージ
offline_storage,storage,オフラインストレージ,バックアップ用ストレージ
mainframe_storage,storage,メインフレームストレージ,大型機用ストレージ
lan_wan,network,LAN/WAN,社内ネットワーク
voice,network,音声,電話システム
transport,network,輸送,通信回線
database,platform,データベース,DBMS
middleware,platform,ミドルウェア,アプリケーションサーバー
container_orchestration,platform,コンテナ・オーケストレーション,Docker、Kubernetes
big_data,platform,ビッグデータ,Hadoop、Spark
app_development,application,アプリケーション開発,アプリケーション開発環境
app_support,application,アプリケーション・サポート＆オペレーション,運用保守
business_software,application,ビジネス・ソフトウェア,業務アプリケーション
central_print,output,セントラルプリント,中央印刷システム
workspace,end_user,ワークスペース,デスクトップ環境
mobile_devices,end_user,モバイル機器,モバイルデバイス
end_user_software,end_user,エンドユーザー・ソフトウェア,エンドユーザー向けソフト
network_printers,end_user,ネットワークプリンター,ローカルプリンター
conference_av,end_user,会議＆AV,会議室システム
helpdesk,end_user,ヘルプデスク,サポート窓口
it_service_mgmt,delivery,ITサービスマネジメント,ITILベースのサービス管理
program_mgmt,delivery,プログラム・製品・プロジェクト管理,プロジェクト管理
customer_mgmt,delivery,顧客管理,顧客対応
operation_center,delivery,オペレーションセンター,運用管理
security_ops,security,セキュリティ,セキュリティ対策
compliance,security,コンプライアンス,法令遵守
disaster_recovery,security,災害復旧,BCP対策
strategy_planning,it_management,戦略プランニング,IT戦略策定
enterprise_architecture,it_management,エンタープライズ・アーキテクチャ,システム設計
it_finance,it_management,ITファイナンス,IT財務管理
it_vendor_mgmt,it_management,ITベンダー管理,調達管理
