it_tower_id,it_tower_name,description
data_center,データセンター,物理的なデータセンター施設、電力、冷却、スペース管理など
compute,コンピュート,サーバーハードウェア、仮想化ソフトウェア、オペレーティングシステムなど
storage,ストレージ,ストレージハードウェア、ストレージソフトウェア、バックアップ・リカバリなど
network,ネットワーク,LAN/WAN、音声通信、ネットワークセキュリティなど
platform,プラットフォーム,データベース、ミドルウェア、コンテナ、開発ツールなど
application,アプリケーション,業務アプリケーション、SaaS、カスタムアプリケーションなど
output,出力,中央印刷サービス、出力管理など
end_user,エンドユーザー,デスクトップ、モバイル、プリンティングなど
delivery,配送（デリバリー）,IT運用管理、サービスデスク、IT財務管理など
security,セキュリティとコンプライアンス,セキュリティツール、監視、コンプライアンス管理など
it_management,ITマネジメント,IT戦略、アーキテクチャ、財務管理など
