fiscal_year,fiscal_month,it_tower_id,it_sub_tower_id,service_id,allocation_method,allocation_value,description
2015,3,compute,servers,erp,usage_based,0.40,ERPサービスのサーバーリソース利用
2015,3,compute,servers,crm,usage_based,0.30,CRMサービスのサーバーリソース利用
2015,3,compute,servers,sales_force,usage_based,0.10,営業支援サービスのサーバーリソース利用
2015,3,compute,servers,file_sharing,usage_based,0.10,ファイル共有サービスのサーバーリソース利用
2015,3,compute,servers,web_hosting,usage_based,0.10,Webホスティングサービスのサーバーリソース利用
2015,3,compute,unix,erp,usage_based,0.70,ERPサービスのUNIXサーバーリソース利用
2015,3,compute,unix,database_service,usage_based,0.30,データベースサービスのUNIXサーバーリソース利用
2015,3,storage,online_storage,erp,usage_based,0.30,ERPサービスのストレージリソース利用
2015,3,storage,online_storage,crm,usage_based,0.20,CRMサービスのストレージリソース利用
2015,3,storage,online_storage,file_sharing,usage_based,0.40,ファイル共有サービスのストレージリソース利用
2015,3,storage,online_storage,database_service,usage_based,0.10,データベースサービスのストレージリソース利用
2015,3,storage,offline_storage,backup_recovery,direct,1.00,バックアップ・リカバリサービスのストレージリソース利用
2015,3,network,lan_wan,erp,usage_based,0.20,ERPサービスのネットワークリソース利用
2015,3,network,lan_wan,crm,usage_based,0.20,CRMサービスのネットワークリソース利用
2015,3,network,lan_wan,sales_force,usage_based,0.10,営業支援サービスのネットワークリソース利用
2015,3,network,lan_wan,email,usage_based,0.20,メールサービスのネットワークリソース利用
2015,3,network,lan_wan,collaboration,usage_based,0.10,コラボレーションサービスのネットワークリソース利用
2015,3,network,lan_wan,file_sharing,usage_based,0.10,ファイル共有サービスのネットワークリソース利用
2015,3,network,lan_wan,web_hosting,usage_based,0.10,Webホスティングサービスのネットワークリソース利用
2015,3,network,transport,remote_access,direct,1.00,リモートアクセスサービスのネットワークリソース利用
2015,3,platform,database,erp,usage_based,0.50,ERPサービスのデータベースリソース利用
2015,3,platform,database,crm,usage_based,0.30,CRMサービスのデータベースリソース利用
2015,3,platform,database,sales_force,usage_based,0.20,営業支援サービスのデータベースリソース利用
2015,3,platform,middleware,erp,usage_based,0.60,ERPサービスのミドルウェアリソース利用
2015,3,platform,middleware,crm,usage_based,0.40,CRMサービスのミドルウェアリソース利用
2015,3,application,app_development,crm,direct,0.70,CRMサービスのアプリケーション開発リソース利用
2015,3,application,app_development,sales_force,direct,0.30,営業支援サービスのアプリケーション開発リソース利用
2015,3,application,app_support,erp,direct,0.60,ERPサービスのアプリケーションサポートリソース利用
2015,3,application,app_support,crm,direct,0.30,CRMサービスのアプリケーションサポートリソース利用
2015,3,application,app_support,sales_force,direct,0.10,営業支援サービスのアプリケーションサポートリソース利用
2015,3,application,business_software,erp,direct,0.50,ERPサービスのビジネスソフトウェアリソース利用
2015,3,application,business_software,crm,direct,0.20,CRMサービスのビジネスソフトウェアリソース利用
2015,3,application,business_software,sales_force,direct,0.30,営業支援サービスのビジネスソフトウェアリソース利用
2015,3,end_user,workspace,email,user_count,0.30,メールサービスのワークスペースリソース利用
2015,3,end_user,workspace,collaboration,user_count,0.30,コラボレーションサービスのワークスペースリソース利用
2015,3,end_user,workspace,file_sharing,user_count,0.20,ファイル共有サービスのワークスペースリソース利用
2015,3,end_user,workspace,remote_access,user_count,0.20,リモートアクセスサービスのワークスペースリソース利用
2015,3,end_user,end_user_software,email,direct,0.50,メールサービスのエンドユーザーソフトウェアリソース利用
2015,3,end_user,end_user_software,collaboration,direct,0.50,コラボレーションサービスのエンドユーザーソフトウェアリソース利用
2015,3,end_user,helpdesk,helpdesk,direct,1.00,ヘルプデスクサービスのヘルプデスクリソース利用
2015,3,security,security_ops,security_service,direct,1.00,セキュリティサービスのセキュリティリソース利用
