fiscal_year,fiscal_month,cost_pool_id,cost_sub_pool_id,it_tower_id,it_sub_tower_id,allocation_method,allocation_value,description
2015,3,internal_labor,salary,compute,servers,direct,0.25,サーバー管理担当者の人件費
2015,3,internal_labor,salary,compute,unix,direct,0.15,UNIX管理担当者の人件費
2015,3,internal_labor,salary,network,lan_wan,direct,0.18,ネットワーク管理担当者の人件費
2015,3,internal_labor,salary,application,app_development,direct,0.32,アプリケーション開発担当者の人件費
2015,3,internal_labor,salary,it_management,strategy_planning,direct,0.1,IT戦略担当者の人件費
2015,3,internal_labor,benefits,compute,servers,usage_based,0.25,サーバー管理担当者の福利厚生費
2015,3,internal_labor,benefits,compute,unix,usage_based,0.15,UNIX管理担当者の福利厚生費
2015,3,internal_labor,benefits,network,lan_wan,usage_based,0.18,ネットワーク管理担当者の福利厚生費
2015,3,internal_labor,benefits,application,app_development,usage_based,0.32,アプリケーション開発担当者の福利厚生費
2015,3,internal_labor,benefits,it_management,strategy_planning,usage_based,0.1,IT戦略担当者の福利厚生費
2015,3,external_labor,consultants,application,app_support,direct,1.0,ERPコンサルティング費用
2015,3,external_labor,contractors,application,app_development,direct,1.0,CRMシステム開発委託
2015,3,hardware,hw_expense,end_user,workspace,direct,1.0,PC周辺機器購入
2015,3,hardware,hw_lease,compute,servers,direct,0.85,サーバーリース料（Windowsサーバー）
2015,3,hardware,hw_lease,compute,unix,direct,0.15,サーバーリース料（UNIXサーバー）
2015,3,hardware,hw_maintenance,compute,servers,direct,0.85,サーバー保守費用（Windowsサーバー）
2015,3,hardware,hw_maintenance,compute,unix,direct,0.15,サーバー保守費用（UNIXサーバー）
2015,3,hardware,hw_depreciation,compute,servers,direct,0.75,サーバー減価償却費（Windowsサーバー）
2015,3,hardware,hw_depreciation,compute,unix,direct,0.25,サーバー減価償却費（UNIXサーバー）
2015,3,hardware,hw_depreciation,storage,online_storage,direct,0.0,ストレージ減価償却費
2015,3,software,sw_license,end_user,end_user_software,direct,0.4,MS365ライセンス
2015,3,software,sw_license,application,business_software,direct,0.6,Salesforce・SAPライセンス
2015,3,software,sw_maintenance,application,business_software,direct,1.0,SAP保守費用
2015,3,external_services,cloud_services,compute,servers,direct,0.7,AWSクラウドサービス（EC2）
2015,3,external_services,cloud_services,storage,online_storage,direct,0.2,AWSクラウドサービス（S3）
2015,3,external_services,cloud_services,platform,database,direct,0.1,Azureクラウドサービス（SQL Database）
2015,3,facilities,facilities_expense,data_center,enterprise_dc,direct,1.0,データセンター電気代
2015,3,facilities,facilities_lease,data_center,enterprise_dc,direct,1.0,データセンター賃料
2015,3,telecom,telecom_expense,network,lan_wan,direct,0.8,インターネット回線料金
2015,3,telecom,telecom_expense,network,transport,direct,0.2,専用線料金
2015,3,other,misc_expense,it_management,it_finance,direct,1.0,事務用品費
2016,3,internal_labor,salary,compute,servers,direct,0.26,サーバー管理担当者の人件費
2016,3,internal_labor,salary,compute,unix,direct,0.14,UNIX管理担当者の人件費
2016,3,internal_labor,salary,network,lan_wan,direct,0.18,ネットワーク管理担当者の人件費
2016,3,internal_labor,salary,application,app_development,direct,0.32,アプリケーション開発担当者の人件費
2016,3,internal_labor,salary,it_management,strategy_planning,direct,0.1,IT戦略担当者の人件費
2016,3,internal_labor,benefits,compute,servers,usage_based,0.26,サーバー管理担当者の福利厚生費
2016,3,internal_labor,benefits,compute,unix,usage_based,0.14,UNIX管理担当者の福利厚生費
2016,3,internal_labor,benefits,network,lan_wan,usage_based,0.18,ネットワーク管理担当者の福利厚生費
2016,3,internal_labor,benefits,application,app_development,usage_based,0.32,アプリケーション開発担当者の福利厚生費
2016,3,internal_labor,benefits,it_management,strategy_planning,usage_based,0.1,IT戦略担当者の福利厚生費
2016,3,external_labor,consultants,application,app_support,direct,1.0,ERPコンサルティング費用
2016,3,external_labor,contractors,application,app_development,direct,1.0,CRMシステム開発委託
2016,3,hardware,hw_expense,end_user,workspace,direct,1.0,PC周辺機器購入
2016,3,hardware,hw_lease,compute,servers,direct,0.84,サーバーリース料（Windowsサーバー）
2016,3,hardware,hw_lease,compute,unix,direct,0.16,サーバーリース料（UNIXサーバー）
2016,3,hardware,hw_maintenance,compute,servers,direct,0.84,サーバー保守費用（Windowsサーバー）
2016,3,hardware,hw_maintenance,compute,unix,direct,0.16,サーバー保守費用（UNIXサーバー）
2016,3,hardware,hw_depreciation,compute,servers,direct,0.74,サーバー減価償却費（Windowsサーバー）
2016,3,hardware,hw_depreciation,compute,unix,direct,0.24,サーバー減価償却費（UNIXサーバー）
2016,3,hardware,hw_depreciation,storage,online_storage,direct,0.02,ストレージ減価償却費
2016,3,software,sw_license,end_user,end_user_software,direct,0.38,MS365ライセンス
2016,3,software,sw_license,application,business_software,direct,0.62,Salesforce・SAPライセンス
2016,3,software,sw_maintenance,application,business_software,direct,1.0,SAP保守費用
2016,3,external_services,cloud_services,compute,servers,direct,0.67,AWSクラウドサービス（EC2）
2016,3,external_services,cloud_services,storage,online_storage,direct,0.22,AWSクラウドサービス（S3）
2016,3,external_services,cloud_services,platform,database,direct,0.11,Azureクラウドサービス（SQL Database）
2016,3,facilities,facilities_expense,data_center,enterprise_dc,direct,1.0,データセンター電気代
2016,3,facilities,facilities_lease,data_center,enterprise_dc,direct,1.0,データセンター賃料
2016,3,telecom,telecom_expense,network,lan_wan,direct,0.78,インターネット回線料金
2016,3,telecom,telecom_expense,network,transport,direct,0.22,専用線料金
2016,3,other,misc_expense,it_management,it_finance,direct,1.0,事務用品費
2017,3,internal_labor,salary,compute,servers,direct,0.27,サーバー管理担当者の人件費
2017,3,internal_labor,salary,compute,unix,direct,0.13,UNIX管理担当者の人件費
2017,3,internal_labor,salary,network,lan_wan,direct,0.19,ネットワーク管理担当者の人件費
2017,3,internal_labor,salary,application,app_development,direct,0.31,アプリケーション開発担当者の人件費
2017,3,internal_labor,salary,it_management,strategy_planning,direct,0.1,IT戦略担当者の人件費
2017,3,internal_labor,benefits,compute,servers,usage_based,0.27,サーバー管理担当者の福利厚生費
2017,3,internal_labor,benefits,compute,unix,usage_based,0.13,UNIX管理担当者の福利厚生費
2017,3,internal_labor,benefits,network,lan_wan,usage_based,0.19,ネットワーク管理担当者の福利厚生費
2017,3,internal_labor,benefits,application,app_development,usage_based,0.31,アプリケーション開発担当者の福利厚生費
2017,3,internal_labor,benefits,it_management,strategy_planning,usage_based,0.1,IT戦略担当者の福利厚生費
2017,3,external_labor,consultants,application,app_support,direct,1.0,ERPコンサルティング費用
2017,3,external_labor,contractors,application,app_development,direct,1.0,CRMシステム開発委託
2017,3,hardware,hw_expense,end_user,workspace,direct,1.0,PC周辺機器購入
2017,3,hardware,hw_lease,compute,servers,direct,0.83,サーバーリース料（Windowsサーバー）
2017,3,hardware,hw_lease,compute,unix,direct,0.17,サーバーリース料（UNIXサーバー）
2017,3,hardware,hw_maintenance,compute,servers,direct,0.83,サーバー保守費用（Windowsサーバー）
2017,3,hardware,hw_maintenance,compute,unix,direct,0.17,サーバー保守費用（UNIXサーバー）
2017,3,hardware,hw_depreciation,compute,servers,direct,0.73,サーバー減価償却費（Windowsサーバー）
2017,3,hardware,hw_depreciation,compute,unix,direct,0.22,サーバー減価償却費（UNIXサーバー）
2017,3,hardware,hw_depreciation,storage,online_storage,direct,0.05,ストレージ減価償却費
2017,3,software,sw_license,end_user,end_user_software,direct,0.36,MS365ライセンス
2017,3,software,sw_license,application,business_software,direct,0.64,Salesforce・SAPライセンス
2017,3,software,sw_maintenance,application,business_software,direct,1.0,SAP保守費用
2017,3,external_services,cloud_services,compute,servers,direct,0.63,AWSクラウドサービス（EC2）
2017,3,external_services,cloud_services,storage,online_storage,direct,0.24,AWSクラウドサービス（S3）
2017,3,external_services,cloud_services,platform,database,direct,0.13,Azureクラウドサービス（SQL Database）
2017,3,facilities,facilities_expense,data_center,enterprise_dc,direct,1.0,データセンター電気代
2017,3,facilities,facilities_lease,data_center,enterprise_dc,direct,1.0,データセンター賃料
2017,3,telecom,telecom_expense,network,lan_wan,direct,0.76,インターネット回線料金
2017,3,telecom,telecom_expense,network,transport,direct,0.24,専用線料金
2017,3,other,misc_expense,it_management,it_finance,direct,1.0,事務用品費
2018,3,internal_labor,salary,compute,servers,direct,0.28,サーバー管理担当者の人件費
2018,3,internal_labor,salary,compute,unix,direct,0.12,UNIX管理担当者の人件費
2018,3,internal_labor,salary,network,lan_wan,direct,0.2,ネットワーク管理担当者の人件費
2018,3,internal_labor,salary,application,app_development,direct,0.3,アプリケーション開発担当者の人件費
2018,3,internal_labor,salary,it_management,strategy_planning,direct,0.1,IT戦略担当者の人件費
2018,3,internal_labor,benefits,compute,servers,usage_based,0.28,サーバー管理担当者の福利厚生費
2018,3,internal_labor,benefits,compute,unix,usage_based,0.12,UNIX管理担当者の福利厚生費
2018,3,internal_labor,benefits,network,lan_wan,usage_based,0.2,ネットワーク管理担当者の福利厚生費
2018,3,internal_labor,benefits,application,app_development,usage_based,0.3,アプリケーション開発担当者の福利厚生費
2018,3,internal_labor,benefits,it_management,strategy_planning,usage_based,0.1,IT戦略担当者の福利厚生費
2018,3,external_labor,consultants,application,app_support,direct,1.0,ERPコンサルティング費用
2018,3,external_labor,contractors,application,app_development,direct,1.0,CRMシステム開発委託
2018,3,hardware,hw_expense,end_user,workspace,direct,1.0,PC周辺機器購入
2018,3,hardware,hw_lease,compute,servers,direct,0.82,サーバーリース料（Windowsサーバー）
2018,3,hardware,hw_lease,compute,unix,direct,0.18,サーバーリース料（UNIXサーバー）
2018,3,hardware,hw_maintenance,compute,servers,direct,0.82,サーバー保守費用（Windowsサーバー）
2018,3,hardware,hw_maintenance,compute,unix,direct,0.18,サーバー保守費用（UNIXサーバー）
2018,3,hardware,hw_depreciation,compute,servers,direct,0.72,サーバー減価償却費（Windowsサーバー）
2018,3,hardware,hw_depreciation,compute,unix,direct,0.21,サーバー減価償却費（UNIXサーバー）
2018,3,hardware,hw_depreciation,storage,online_storage,direct,0.07,ストレージ減価償却費
2018,3,software,sw_license,end_user,end_user_software,direct,0.35,MS365ライセンス
2018,3,software,sw_license,application,business_software,direct,0.65,Salesforce・SAPライセンス
2018,3,software,sw_maintenance,application,business_software,direct,1.0,SAP保守費用
