allocation_id,service_id,capability_id,allocation_method,allocation_value,description
1,erp,financial_management,direct,0.4,ERPサービスの財務管理能力への貢献
2,erp,accounting,direct,0.4,ERPサービスの会計処理能力への貢献
3,erp,procurement,direct,0.2,ERPサービスの調達能力への貢献
4,crm,customer_acquisition,direct,0.3,CRMサービスの顧客獲得能力への貢献
5,crm,customer_management,direct,0.7,CRMサービスの顧客管理能力への貢献
6,sales_force,customer_acquisition,direct,0.4,営業支援サービスの顧客獲得能力への貢献
7,sales_force,customer_management,direct,0.3,営業支援サービスの顧客管理能力への貢献
8,sales_force,sales_management,direct,0.3,営業支援サービスの販売管理能力への貢献
9,email,customer_management,usage_based,0.3,メールサービスの顧客管理能力への貢献
10,email,sales_management,usage_based,0.2,メールサービスの販売管理能力への貢献
11,email,financial_management,usage_based,0.1,メールサービスの財務管理能力への貢献
12,email,hr_management,usage_based,0.1,メールサービスの人材管理能力への貢献
13,email,it_service_delivery,usage_based,0.1,メールサービスのITサービス提供能力への貢献
14,email,it_operations,usage_based,0.1,メールサービスのIT運用能力への貢献
15,email,procurement,usage_based,0.1,メールサービスの調達能力への貢献
16,collaboration,customer_management,usage_based,0.2,コラボレーションサービスの顧客管理能力への貢献
17,collaboration,product_development,usage_based,0.3,コラボレーションサービスの製品開発能力への貢献
18,collaboration,sales_management,usage_based,0.2,コラボレーションサービスの販売管理能力への貢献
19,collaboration,financial_management,usage_based,0.1,コラボレーションサービスの財務管理能力への貢献
20,collaboration,hr_management,usage_based,0.1,コラボレーションサービスの人材管理能力への貢献
21,collaboration,it_service_delivery,usage_based,0.1,コラボレーションサービスのITサービス提供能力への貢献
22,helpdesk,it_operations,direct,1.0,ヘルプデスクサービスのIT運用能力への貢献
23,file_sharing,customer_management,storage_used,0.1,ファイル共有サービスの顧客管理能力への貢献
24,file_sharing,product_development,storage_used,0.2,ファイル共有サービスの製品開発能力への貢献
25,file_sharing,sales_management,storage_used,0.1,ファイル共有サービスの販売管理能力への貢献
26,file_sharing,financial_management,storage_used,0.1,ファイル共有サービスの財務管理能力への貢献
27,file_sharing,accounting,storage_used,0.1,ファイル共有サービスの会計処理能力への貢献
28,file_sharing,hr_management,storage_used,0.1,ファイル共有サービスの人材管理能力への貢献
29,file_sharing,it_service_delivery,storage_used,0.1,ファイル共有サービスのITサービス提供能力への貢献
30,file_sharing,it_operations,storage_used,0.1,ファイル共有サービスのIT運用能力への貢献
31,file_sharing,procurement,storage_used,0.1,ファイル共有サービスの調達能力への貢献
32,remote_access,customer_management,user_count,0.2,リモートアクセスサービスの顧客管理能力への貢献
33,remote_access,sales_management,user_count,0.3,リモートアクセスサービスの販売管理能力への貢献
34,remote_access,financial_management,user_count,0.1,リモートアクセスサービスの財務管理能力への貢献
35,remote_access,accounting,user_count,0.1,リモートアクセスサービスの会計処理能力への貢献
36,remote_access,it_service_delivery,user_count,0.1,リモートアクセスサービスのITサービス提供能力への貢献
37,remote_access,it_operations,user_count,0.2,リモートアクセスサービスのIT運用能力への貢献
38,web_hosting,customer_acquisition,direct,0.7,Webホスティングサービスの顧客獲得能力への貢献
39,web_hosting,customer_management,direct,0.3,Webホスティングサービスの顧客管理能力への貢献
40,database_service,customer_management,usage_based,0.2,データベースサービスの顧客管理能力への貢献
41,database_service,financial_management,usage_based,0.2,データベースサービスの財務管理能力への貢献
42,database_service,accounting,usage_based,0.2,データベースサービスの会計処理能力への貢献
43,database_service,it_service_delivery,usage_based,0.2,データベースサービスのITサービス提供能力への貢献
44,database_service,it_operations,usage_based,0.2,データベースサービスのIT運用能力への貢献
45,security_service,compliance,direct,0.5,セキュリティサービスの法令遵守能力への貢献
46,security_service,risk_management,direct,0.5,セキュリティサービスのリスク管理能力への貢献
47,backup_recovery,it_operations,direct,0.7,バックアップ・リカバリサービスのIT運用能力への貢献
48,backup_recovery,risk_management,direct,0.3,バックアップ・リカバリサービスのリスク管理能力への貢献
